Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter159.grad                                       (8,)     0.00B
Tensor224                                               (8,)   512.00B
Tensor225                                               (8,)   512.00B
Parameter161.grad                                     (8, 8)     0.00B
Tensor226                                             (8, 8)   512.00B
Tensor227                                             (8, 8)   512.00B
Parameter162.grad                                       (8,)     0.00B
Tensor228                                               (8,)   512.00B
Tensor229                                               (8,)   512.00B
Parameter164.grad                                     (2, 8)     0.00B
Tensor230                                             (2, 8)   512.00B
Tensor231                                             (2, 8)   512.00B
Parameter165.grad                                       (2,)     0.00B
Tensor232                                               (2,)   512.00B
Tensor233                                               (2,)   512.00B
Tensor234                                             (8, 1)   512.00B
Tensor235                                             (8, 1)   512.00B
Tensor236                                             (8, 1)   512.00B
Tensor237                                               (8,)   512.00B
Tensor238                                               (8,)   512.00B
Tensor239                                               (8,)   512.00B
Tensor240                                             (8, 8)   512.00B
Tensor241                                             (8, 8)   512.00B
Tensor242                                             (8, 8)   512.00B
Tensor243                                               (8,)   512.00B
Tensor244                                               (8,)   512.00B
Tensor245                                               (8,)   512.00B
Tensor246                                             (2, 8)   512.00B
Tensor247                                             (2, 8)   512.00B
Tensor248                                             (2, 8)   512.00B
Tensor249                                               (2,)   512.00B
Tensor250                                               (2,)   512.00B
Tensor251                                               (2,)   512.00B
Tensor252                                             (8, 1)   512.00B
Tensor253                                             (8, 1)   512.00B
Tensor254                                             (8, 1)   512.00B
Tensor255                                               (8,)   512.00B
Tensor256                                               (8,)   512.00B
Tensor257                                               (8,)   512.00B
Tensor258                                             (8, 8)   512.00B
Tensor259                                             (8, 8)   512.00B
Tensor260                                             (8, 8)   512.00B
Tensor261                                               (8,)   512.00B
Tensor262                                               (8,)   512.00B
Tensor263                                               (8,)   512.00B
Tensor264                                             (2, 8)   512.00B
Tensor265                                             (2, 8)   512.00B
Tensor266                                             (2, 8)   512.00B
Tensor267                                               (2,)   512.00B
Tensor268                                               (2,)   512.00B
Tensor269                                               (2,)   512.00B
Tensor270                                               (1,)   512.00B
Tensor271                                               (1,)   512.00B
Parameter272                                          (8, 1)   512.00B
Parameter272.grad                                     (8, 1)     0.00B
Parameter273                                            (8,)   512.00B
Parameter273.grad                                       (8,)     0.00B
Parameter274                                          (8, 8)   512.00B
Parameter274.grad                                     (8, 8)     0.00B
Parameter275                                            (8,)   512.00B
Parameter275.grad                                       (8,)     0.00B
Parameter276                                          (2, 8)   512.00B
Parameter276.grad                                     (2, 8)     0.00B
Parameter277                                            (2,)   512.00B
Parameter277.grad                                       (2,)     0.00B
Parameter278                                          (8, 1)   512.00B
Parameter278.grad                                     (8, 1)     0.00B
Parameter279                                            (8,)   512.00B
Parameter279.grad                                       (8,)     0.00B
Parameter280                                          (8, 8)   512.00B
Parameter280.grad                                     (8, 8)     0.00B
Parameter281                                            (8,)   512.00B
Parameter281.grad                                       (8,)     0.00B
Parameter282                                          (2, 8)   512.00B
Parameter282.grad                                     (2, 8)     0.00B
Parameter283                                            (2,)   512.00B
Parameter283.grad                                       (2,)     0.00B
Tensor284                                               (1,)   512.00B
Tensor285                                               (1,)   512.00B
Tensor286                                               (1,)   512.00B
Tensor287                                               (1,)   512.00B
Tensor288                                               (1,)   512.00B
Tensor289                                               (1,)   512.00B
Tensor290                                             (8, 1)   512.00B
Tensor291                                             (8, 8)   512.00B
Tensor292                                             (2, 8)   512.00B
Tensor293                                             (8, 1)   512.00B
Tensor294                                             (8, 8)   512.00B
Tensor295                                             (2, 8)   512.00B
Parameter296                                          (893,)     3.50K
Parameter297                                          (893,)     3.50K
Parameter298                                          (893,)     3.50K
Parameter299                                          (638,)     2.50K
Parameter300                                          (638,)     2.50K
Parameter301                                          (638,)     2.50K
Parameter302                                          (558,)     2.50K
Parameter303                                          (558,)     2.50K
Parameter304                                          (558,)     2.50K
Parameter305                                          (279,)     1.50K
Parameter306                                          (279,)     1.50K
Parameter307                                          (279,)     1.50K
Parameter308                                          (279,)     1.50K
Tensor309                                               (1,)   512.00B
Tensor310                                               (1,)   512.00B
Tensor311                                          (111709,)     0.00B
Tensor312                                       (50, 111709)    21.31M
Tensor313                                            (50, 1)   512.00B
Tensor314                                               (1,)   512.00B
Tensor315                                          (111709,)   436.50K
Tensor316                                          (111709,)   436.50K
Tensor317                                               (1,)   512.00B
Tensor318                                               (1,)   512.00B
Tensor319                                               (1,)   512.00B
Tensor320                                               (1,)   512.00B
Tensor321                                               (1,)   512.00B
Tensor322                                           (256, 1)     1.00K
Tensor323                                             (256,)     2.00K
Tensor324                                           (2, 256)     2.00K
Tensor325                                               (2,)   512.00B
Tensor326                                           (256, 1)     1.00K
Tensor327                                             (256,)     2.00K
Tensor328                                           (2, 256)     2.00K
Tensor329                                               (2,)   512.00B
Tensor330                                           (256, 1)     1.00K
Tensor331                                             (256,)     2.00K
Tensor332                                           (2, 256)     2.00K
Tensor333                                               (2,)   512.00B
Tensor334                                         (256, 256)   256.00K
Tensor335                                             (256,)     2.00K
Tensor336                                         (256, 256)   256.00K
Tensor337                                             (256,)     2.00K
Tensor338                                         (256, 256)   256.00K
Tensor339                                             (256,)     2.00K
Tensor340                                         (256, 256)   256.00K
Tensor341                                             (256,)     2.00K
Tensor342                                         (256, 256)   256.00K
Tensor343                                             (256,)     2.00K
Tensor344                                         (256, 256)   256.00K
Tensor345                                             (256,)     2.00K
Tensor346                                       (50, 111709)    21.31M
Tensor347                                            (50, 1)   512.00B
Tensor348                                       (50, 111709)    21.31M
Tensor349                                            (50, 1)   512.00B
Tensor350                                       (50, 111709)    21.31M
Tensor351                                            (50, 1)   512.00B
Tensor352                                       (50, 111709)    21.31M
Tensor353                                            (50, 1)   512.00B
Tensor354                                       (50, 111709)    21.31M
Tensor355                                            (50, 1)   512.00B
Tensor356                                       (50, 111709)    21.31M
Tensor357                                            (50, 1)   512.00B
Tensor358                                       (50, 111709)    21.31M
Tensor359                                            (50, 1)   512.00B
Tensor360                                       (50, 111709)    21.31M
Tensor361                                            (50, 1)   512.00B
Tensor362                                       (50, 111709)    21.31M
Tensor363                                            (50, 1)   512.00B
Tensor364                                       (50, 111709)    21.31M
Tensor365                                            (50, 1)   512.00B
Tensor366                                       (50, 111709)    21.31M
Tensor367                                            (50, 1)   512.00B
Tensor368                                       (50, 111709)    21.31M
Tensor369                                            (50, 1)   512.00B
Tensor370                                       (50, 111709)    21.31M
Tensor371                                            (50, 1)   512.00B
Tensor372                                       (50, 111709)    21.31M
Tensor373                                            (50, 1)   512.00B
Tensor374                                       (50, 111709)    21.31M
Tensor375                                            (50, 1)   512.00B
Tensor376                                       (50, 111709)    21.31M
Tensor377                                            (50, 1)   512.00B
Tensor378                                       (50, 111709)    21.31M
Tensor379                                            (50, 1)   512.00B
Parameter380                                        (256, 1)     1.00K
Parameter381                                          (256,)     1.00K
Parameter382                                      (256, 279)   279.00K
Parameter383                                          (256,)     1.00K
Parameter384                                        (2, 256)     2.00K
Parameter385                                            (2,)   512.00B
Parameter386                                        (256, 1)     1.00K
Parameter387                                          (256,)     1.00K
Parameter388                                      (256, 279)   279.00K
Parameter389                                          (256,)     1.00K
Parameter390                                        (2, 256)     2.00K
Parameter391                                            (2,)   512.00B
Parameter392                                        (256, 1)     1.00K
Parameter393                                          (256,)     1.00K
Parameter394                                      (256, 279)   279.00K
Parameter395                                          (256,)     1.00K
Parameter396                                        (2, 256)     2.00K
Parameter397                                            (2,)   512.00B
Parameter398                                      (256, 256)   256.00K
Parameter399                                          (256,)     1.00K
Parameter400                                      (256, 256)   256.00K
Parameter401                                          (256,)     1.00K
Parameter402                                      (256, 256)   256.00K
Parameter403                                          (256,)     1.00K
Parameter404                                      (256, 256)   256.00K
Parameter405                                          (256,)     1.00K
Parameter406                                      (256, 256)   256.00K
Parameter407                                          (256,)     1.00K
Parameter408                                      (256, 256)   256.00K
Parameter409                                          (256,)     1.00K
Tensor410                                       (50, 111709)    21.31M
Tensor411                                            (50, 1)   512.00B
Tensor412                                       (50, 111709)    21.31M
Tensor413                                            (50, 1)   512.00B
Tensor414                                       (50, 111709)    21.31M
Tensor415                                            (50, 1)   512.00B
Tensor416                                       (50, 111709)    21.31M
Tensor417                                            (50, 1)   512.00B
Tensor418                                       (50, 111709)    21.31M
Tensor419                                            (50, 1)   512.00B
Tensor420                                       (50, 111709)    21.31M
Tensor421                                            (50, 1)   512.00B
Tensor422                                       (50, 111709)    21.31M
Tensor423                                            (50, 1)   512.00B
Tensor424                                       (50, 111709)    21.31M
Tensor425                                            (50, 1)   512.00B
Tensor426                                       (50, 111709)    21.31M
Tensor427                                            (50, 1)   512.00B
Tensor428                                       (50, 111709)    21.31M
Tensor429                                            (50, 1)   512.00B
Tensor430                                       (50, 111709)    21.31M
Tensor431                                            (50, 1)   512.00B
Tensor432                                       (50, 111709)    21.31M
Tensor433                                            (50, 1)   512.00B
Tensor434                                               (1,)   512.00B
Tensor435                                               (1,)   512.00B
Tensor436                                               (1,)   512.00B
Tensor437                                       (50, 111709)    21.31M
Tensor438                                            (50, 1)   512.00B
Tensor439                                          (1000, 1)     4.00K
Tensor440                                               (1,)   512.00B
