Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor301                                               (2,)   512.00B
Parameter214.grad                                     (8, 1)     0.00B
Tensor302                                             (8, 1)   512.00B
Tensor303                                             (8, 1)   512.00B
Parameter215.grad                                       (8,)     0.00B
Tensor304                                               (8,)   512.00B
Tensor305                                               (8,)   512.00B
Parameter217.grad                                     (8, 8)     0.00B
Tensor306                                             (8, 8)   512.00B
Tensor307                                             (8, 8)   512.00B
Parameter218.grad                                       (8,)     0.00B
Tensor308                                               (8,)   512.00B
Tensor309                                               (8,)   512.00B
Parameter220.grad                                     (2, 8)     0.00B
Tensor310                                             (2, 8)   512.00B
Tensor311                                             (2, 8)   512.00B
Parameter221.grad                                       (2,)     0.00B
Tensor312                                               (2,)   512.00B
Tensor313                                               (2,)   512.00B
Parameter226.grad                                     (8, 1)     0.00B
Tensor314                                             (8, 1)   512.00B
Tensor315                                             (8, 1)   512.00B
Parameter227.grad                                       (8,)     0.00B
Tensor316                                               (8,)   512.00B
Tensor317                                               (8,)   512.00B
Parameter229.grad                                     (8, 8)     0.00B
Tensor318                                             (8, 8)   512.00B
Tensor319                                             (8, 8)   512.00B
Parameter230.grad                                       (8,)     0.00B
Tensor320                                               (8,)   512.00B
Tensor321                                               (8,)   512.00B
Parameter232.grad                                     (2, 8)     0.00B
Tensor322                                             (2, 8)   512.00B
Tensor323                                             (2, 8)   512.00B
Parameter233.grad                                       (2,)     0.00B
Tensor324                                               (2,)   512.00B
Tensor325                                               (2,)   512.00B
Tensor326                                               (1,)   512.00B
Tensor327                                               (1,)   512.00B
Parameter328                                        (11170,)    44.00K
Parameter329                                 (64, 175, 1746)    74.60M
Parameter330                                  (64, 175, 175)     7.48M
Parameter331                                         (2234,)     9.00K
Parameter332                                   (64, 35, 175)     1.50M
Parameter333                                    (64, 35, 35)   306.50K
Parameter334                                         (1117,)     4.50K
Parameter335                                   (16, 70, 140)   612.50K
Parameter336                                    (16, 70, 70)   306.50K
Tensor337                                               (1,)   512.00B
Tensor338                                               (1,)   512.00B
Tensor339                                          (111709,)     0.00B
Tensor340                                       (50, 111709)    21.31M
Tensor341                                            (50, 1)   512.00B
Tensor342                                               (1,)   512.00B
Tensor343                                          (111709,)   436.50K
Tensor344                                          (111709,)   436.50K
Tensor345                                               (1,)   512.00B
Tensor346                                               (1,)   512.00B
Tensor347                                               (1,)   512.00B
Tensor348                                               (1,)   512.00B
Tensor349                                               (1,)   512.00B
Tensor350                                           (256, 1)     1.00K
Tensor351                                             (256,)     2.00K
Tensor352                                           (2, 256)     2.00K
Tensor353                                               (2,)   512.00B
Tensor354                                           (256, 1)     1.00K
Tensor355                                             (256,)     2.00K
Tensor356                                           (2, 256)     2.00K
Tensor357                                               (2,)   512.00B
Tensor358                                           (256, 1)     1.00K
Tensor359                                             (256,)     2.00K
Tensor360                                           (2, 256)     2.00K
Tensor361                                               (2,)   512.00B
Tensor362                                         (256, 256)   256.00K
Tensor363                                             (256,)     2.00K
Tensor364                                         (256, 256)   256.00K
Tensor365                                             (256,)     2.00K
Tensor366                                         (256, 256)   256.00K
Tensor367                                             (256,)     2.00K
Tensor368                                         (256, 256)   256.00K
Tensor369                                             (256,)     2.00K
Tensor370                                         (256, 256)   256.00K
Tensor371                                             (256,)     2.00K
Tensor372                                         (256, 256)   256.00K
Tensor373                                             (256,)     2.00K
Tensor374                                        (1, 111709)     0.00B
Tensor375                                             (8, 1)   512.00B
Tensor376                                               (8,)   512.00B
Tensor377                                             (8, 8)   512.00B
Tensor378                                               (8,)   512.00B
Tensor379                                             (2, 8)   512.00B
Tensor380                                               (2,)   512.00B
Tensor381                                             (8, 1)   512.00B
Tensor382                                               (8,)   512.00B
Tensor383                                             (8, 8)   512.00B
Tensor384                                               (8,)   512.00B
Tensor385                                             (2, 8)   512.00B
Tensor386                                               (2,)   512.00B
Tensor387                                             (8, 1)   512.00B
Tensor388                                               (8,)   512.00B
Tensor389                                             (8, 8)   512.00B
Tensor390                                               (8,)   512.00B
Tensor391                                             (2, 8)   512.00B
Tensor392                                               (2,)   512.00B
Tensor393                                             (8, 1)   512.00B
Tensor394                                               (8,)   512.00B
Tensor395                                             (8, 8)   512.00B
Tensor396                                               (8,)   512.00B
Tensor397                                             (2, 8)   512.00B
Tensor398                                               (2,)   512.00B
Tensor399                                             (8, 1)   512.00B
Tensor400                                               (8,)   512.00B
Tensor401                                             (8, 8)   512.00B
Tensor402                                               (8,)   512.00B
Tensor403                                             (2, 8)   512.00B
Tensor404                                               (2,)   512.00B
Tensor405                                               (1,)   512.00B
Tensor406                                               (1,)   512.00B
Tensor407                                               (1,)   512.00B
Tensor408                                               (1,)   512.00B
Tensor409                                               (1,)   512.00B
Tensor410                                               (1,)   512.00B
Tensor411                                               (1,)   512.00B
Tensor412                                               (1,)   512.00B
Tensor413                                               (1,)   512.00B
Tensor414                                               (1,)   512.00B
Tensor415                                               (1,)   512.00B
Tensor416                                               (1,)   512.00B
Tensor417                                               (1,)   512.00B
Tensor418                                               (1,)   512.00B
Tensor419                                               (1,)   512.00B
Tensor420                                               (1,)   512.00B
Tensor421                                               (1,)   512.00B
Tensor422                                               (1,)   512.00B
Tensor423                                             (8, 1)   512.00B
Tensor424                                             (8, 8)   512.00B
Tensor425                                             (2, 8)   512.00B
Tensor426                                             (8, 1)   512.00B
Tensor427                                             (8, 8)   512.00B
Tensor428                                             (2, 8)   512.00B
Tensor429                                             (8, 1)   512.00B
Tensor430                                             (8, 8)   512.00B
Tensor431                                             (2, 8)   512.00B
Tensor432                                             (8, 1)   512.00B
Tensor433                                             (8, 8)   512.00B
Tensor434                                             (2, 8)   512.00B
Tensor435                                             (8, 1)   512.00B
Tensor436                                             (8, 8)   512.00B
Tensor437                                             (2, 8)   512.00B
Tensor438                                          (1600, 1)     6.50K
Tensor439                                          (1600, 1)     6.50K
Tensor440                                          (1600, 1)     6.50K
Tensor441                                          (1600, 1)     6.50K
Tensor442                                          (1600, 1)     6.50K
Tensor443                                          (1600, 1)     6.50K
Tensor444                                       (50, 111709)    21.31M
Tensor445                                            (50, 1)   512.00B
Tensor446                                          (1600, 1)     0.00B
Tensor447                                          (1600, 1)     6.50K
Tensor448                                          (1600, 1)     6.50K
Tensor449                                          (1600, 1)     6.50K
Tensor450                                          (1600, 1)     6.50K
Tensor451                                          (1600, 1)     6.50K
Tensor452                                          (1600, 1)     6.50K
Tensor453                                          (1600, 1)     6.50K
Tensor454                                          (1600, 1)     6.50K
Tensor455                                          (1600, 1)     6.50K
Tensor456                                          (1600, 1)     6.50K
Tensor457                                          (1600, 1)     6.50K
Tensor458                                        (1, 111709)     0.00B
Tensor459                                             (8, 1)   512.00B
Tensor460                                               (8,)   512.00B
Tensor461                                             (8, 8)   512.00B
Tensor462                                               (8,)   512.00B
Tensor463                                             (2, 8)   512.00B
Tensor464                                               (2,)   512.00B
Tensor465                                             (8, 1)   512.00B
Tensor466                                               (8,)   512.00B
Tensor467                                             (8, 8)   512.00B
Tensor468                                               (8,)   512.00B
Tensor469                                             (2, 8)   512.00B
Tensor470                                               (2,)   512.00B
Tensor471                                             (8, 1)   512.00B
Tensor472                                               (8,)   512.00B
Tensor473                                             (8, 8)   512.00B
Tensor474                                               (8,)   512.00B
Tensor475                                             (2, 8)   512.00B
Tensor476                                               (2,)   512.00B
Tensor477                                             (8, 1)   512.00B
Tensor478                                               (8,)   512.00B
Tensor479                                             (8, 8)   512.00B
Tensor480                                               (8,)   512.00B
Tensor481                                             (2, 8)   512.00B
Tensor482                                               (2,)   512.00B
Tensor483                                             (8, 1)   512.00B
Tensor484                                               (8,)   512.00B
Tensor485                                             (8, 8)   512.00B
Tensor486                                               (8,)   512.00B
Tensor487                                             (2, 8)   512.00B
Tensor488                                               (2,)   512.00B
Tensor489                                             (8, 1)   512.00B
Tensor490                                             (8, 1)   512.00B
Tensor491                                             (8, 1)   512.00B
Tensor492                                               (8,)   512.00B
Tensor493                                               (8,)   512.00B
Tensor494                                               (8,)   512.00B
Tensor495                                             (8, 8)   512.00B
Tensor496                                             (8, 8)   512.00B
Tensor497                                             (8, 8)   512.00B
Tensor498                                               (8,)   512.00B
Tensor499                                               (8,)   512.00B
Tensor500                                               (8,)   512.00B
Tensor501                                             (2, 8)   512.00B
Tensor502                                             (2, 8)   512.00B
Tensor503                                             (2, 8)   512.00B
Tensor504                                               (2,)   512.00B
Tensor505                                               (2,)   512.00B
Tensor506                                               (2,)   512.00B
Tensor507                                             (8, 1)   512.00B
Tensor508                                             (8, 1)   512.00B
Tensor509                                             (8, 1)   512.00B
Tensor510                                               (8,)   512.00B
Tensor511                                               (8,)   512.00B
Tensor512                                               (8,)   512.00B
Tensor513                                             (8, 8)   512.00B
