Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor314                                         (256, 256)   256.00K
Tensor315                                             (256,)     2.00K
Tensor316                                        (1, 111709)     0.00B
Tensor317                                             (8, 1)   512.00B
Tensor318                                               (8,)   512.00B
Tensor319                                             (8, 8)   512.00B
Tensor320                                               (8,)   512.00B
Tensor321                                             (2, 8)   512.00B
Tensor322                                               (2,)   512.00B
Tensor323                                             (8, 1)   512.00B
Tensor324                                               (8,)   512.00B
Tensor325                                             (8, 8)   512.00B
Tensor326                                               (8,)   512.00B
Tensor327                                             (2, 8)   512.00B
Tensor328                                               (2,)   512.00B
Tensor329                                             (8, 1)   512.00B
Tensor330                                               (8,)   512.00B
Tensor331                                             (8, 8)   512.00B
Tensor332                                               (8,)   512.00B
Tensor333                                             (2, 8)   512.00B
Tensor334                                               (2,)   512.00B
Tensor335                                             (8, 1)   512.00B
Tensor336                                               (8,)   512.00B
Tensor337                                             (8, 8)   512.00B
Tensor338                                               (8,)   512.00B
Tensor339                                             (2, 8)   512.00B
Tensor340                                               (2,)   512.00B
Tensor341                                             (8, 1)   512.00B
Tensor342                                               (8,)   512.00B
Tensor343                                             (8, 8)   512.00B
Tensor344                                               (8,)   512.00B
Tensor345                                             (2, 8)   512.00B
Tensor346                                               (2,)   512.00B
Tensor347                                               (1,)   512.00B
Tensor348                                               (1,)   512.00B
Tensor349                                               (1,)   512.00B
Tensor350                                               (1,)   512.00B
Tensor351                                               (1,)   512.00B
Tensor352                                               (1,)   512.00B
Tensor353                                               (1,)   512.00B
Tensor354                                               (1,)   512.00B
Tensor355                                               (1,)   512.00B
Tensor356                                               (1,)   512.00B
Tensor357                                               (1,)   512.00B
Tensor358                                               (1,)   512.00B
Tensor359                                               (1,)   512.00B
Tensor360                                               (1,)   512.00B
Tensor361                                               (1,)   512.00B
Tensor362                                               (1,)   512.00B
Tensor363                                               (1,)   512.00B
Tensor364                                               (1,)   512.00B
Tensor365                                             (8, 1)   512.00B
Tensor366                                             (8, 8)   512.00B
Tensor367                                             (2, 8)   512.00B
Tensor368                                             (8, 1)   512.00B
Tensor369                                             (8, 8)   512.00B
Tensor370                                             (2, 8)   512.00B
Tensor371                                             (8, 1)   512.00B
Tensor372                                             (8, 8)   512.00B
Tensor373                                             (2, 8)   512.00B
Tensor374                                             (8, 1)   512.00B
Tensor375                                             (8, 8)   512.00B
Tensor376                                             (2, 8)   512.00B
Tensor377                                             (8, 1)   512.00B
Tensor378                                             (8, 8)   512.00B
Tensor379                                             (2, 8)   512.00B
Tensor380                                          (1600, 1)     6.50K
Tensor381                                          (1600, 1)     6.50K
Tensor382                                          (1600, 1)     6.50K
Tensor383                                          (1600, 1)     6.50K
Tensor384                                          (1600, 1)     6.50K
Tensor385                                          (1600, 1)     6.50K
Tensor386                                       (50, 111709)    21.31M
Tensor387                                            (50, 1)   512.00B
Tensor388                                          (1600, 1)     0.00B
Tensor389                                          (1600, 1)     6.50K
Tensor390                                          (1600, 1)     6.50K
Tensor391                                          (1600, 1)     6.50K
Tensor392                                          (1600, 1)     6.50K
Tensor393                                          (1600, 1)     6.50K
Tensor394                                          (1600, 1)     6.50K
Tensor395                                          (1600, 1)     6.50K
Tensor396                                          (1600, 1)     6.50K
Tensor397                                          (1600, 1)     6.50K
Tensor398                                          (1600, 1)     6.50K
Tensor399                                          (1600, 1)     6.50K
Tensor400                                        (1, 111709)     0.00B
Tensor401                                             (8, 1)   512.00B
Tensor402                                               (8,)   512.00B
Tensor403                                             (8, 8)   512.00B
Tensor404                                               (8,)   512.00B
Tensor405                                             (2, 8)   512.00B
Tensor406                                               (2,)   512.00B
Tensor407                                             (8, 1)   512.00B
Tensor408                                               (8,)   512.00B
Tensor409                                             (8, 8)   512.00B
Tensor410                                               (8,)   512.00B
Tensor411                                             (2, 8)   512.00B
Tensor412                                               (2,)   512.00B
Tensor413                                             (8, 1)   512.00B
Tensor414                                               (8,)   512.00B
Tensor415                                             (8, 8)   512.00B
Tensor416                                               (8,)   512.00B
Tensor417                                             (2, 8)   512.00B
Tensor418                                               (2,)   512.00B
Tensor419                                             (8, 1)   512.00B
Tensor420                                               (8,)   512.00B
Tensor421                                             (8, 8)   512.00B
Tensor422                                               (8,)   512.00B
Tensor423                                             (2, 8)   512.00B
Tensor424                                               (2,)   512.00B
Tensor425                                             (8, 1)   512.00B
Tensor426                                               (8,)   512.00B
Tensor427                                             (8, 8)   512.00B
Tensor428                                               (8,)   512.00B
Tensor429                                             (2, 8)   512.00B
Tensor430                                               (2,)   512.00B
Tensor431                                             (8, 1)   512.00B
Tensor432                                             (8, 1)   512.00B
Tensor433                                             (8, 1)   512.00B
Tensor434                                               (8,)   512.00B
Tensor435                                               (8,)   512.00B
Tensor436                                               (8,)   512.00B
Tensor437                                             (8, 8)   512.00B
Tensor438                                             (8, 8)   512.00B
Tensor439                                             (8, 8)   512.00B
Tensor440                                               (8,)   512.00B
Tensor441                                               (8,)   512.00B
Tensor442                                               (8,)   512.00B
Tensor443                                             (2, 8)   512.00B
Tensor444                                             (2, 8)   512.00B
Tensor445                                             (2, 8)   512.00B
Tensor446                                               (2,)   512.00B
Tensor447                                               (2,)   512.00B
Tensor448                                               (2,)   512.00B
Tensor449                                             (8, 1)   512.00B
Tensor450                                             (8, 1)   512.00B
Tensor451                                             (8, 1)   512.00B
Tensor452                                               (8,)   512.00B
Tensor453                                               (8,)   512.00B
Tensor454                                               (8,)   512.00B
Tensor455                                             (8, 8)   512.00B
Tensor456                                             (8, 8)   512.00B
Tensor457                                             (8, 8)   512.00B
Tensor458                                               (8,)   512.00B
Tensor459                                               (8,)   512.00B
Tensor460                                               (8,)   512.00B
Tensor461                                             (2, 8)   512.00B
Tensor462                                             (2, 8)   512.00B
Tensor463                                             (2, 8)   512.00B
Tensor464                                               (2,)   512.00B
Tensor465                                               (2,)   512.00B
Tensor466                                               (2,)   512.00B
Tensor467                                             (8, 1)   512.00B
Tensor468                                             (8, 1)   512.00B
Tensor469                                             (8, 1)   512.00B
Tensor470                                               (8,)   512.00B
Tensor471                                               (8,)   512.00B
Tensor472                                               (8,)   512.00B
Tensor473                                             (8, 8)   512.00B
Tensor474                                             (8, 8)   512.00B
Tensor475                                             (8, 8)   512.00B
Tensor476                                               (8,)   512.00B
Tensor477                                               (8,)   512.00B
Tensor478                                               (8,)   512.00B
Tensor479                                             (2, 8)   512.00B
Tensor480                                             (2, 8)   512.00B
Tensor481                                             (2, 8)   512.00B
Tensor482                                               (2,)   512.00B
Tensor483                                               (2,)   512.00B
Tensor484                                               (2,)   512.00B
Tensor485                                             (8, 1)   512.00B
Tensor486                                             (8, 1)   512.00B
Tensor487                                             (8, 1)   512.00B
Tensor488                                               (8,)   512.00B
Tensor489                                               (8,)   512.00B
Tensor490                                               (8,)   512.00B
Tensor491                                             (8, 8)   512.00B
Tensor492                                             (8, 8)   512.00B
Tensor493                                             (8, 8)   512.00B
Tensor494                                               (8,)   512.00B
Tensor495                                               (8,)   512.00B
Tensor496                                               (8,)   512.00B
Tensor497                                             (2, 8)   512.00B
Tensor498                                             (2, 8)   512.00B
Tensor499                                             (2, 8)   512.00B
Tensor500                                               (2,)   512.00B
Tensor501                                               (2,)   512.00B
Tensor502                                               (2,)   512.00B
Tensor503                                             (8, 1)   512.00B
Tensor504                                             (8, 1)   512.00B
Tensor505                                             (8, 1)   512.00B
Tensor506                                               (8,)   512.00B
Tensor507                                               (8,)   512.00B
Tensor508                                               (8,)   512.00B
Tensor509                                             (8, 8)   512.00B
Tensor510                                             (8, 8)   512.00B
Tensor511                                             (8, 8)   512.00B
Tensor512                                               (8,)   512.00B
Tensor513                                               (8,)   512.00B
Tensor514                                               (8,)   512.00B
Tensor515                                             (2, 8)   512.00B
Tensor516                                             (2, 8)   512.00B
Tensor517                                             (2, 8)   512.00B
Tensor518                                               (2,)   512.00B
Tensor519                                               (2,)   512.00B
Tensor520                                               (2,)   512.00B
Tensor521                                               (1,)   512.00B
Tensor522                                               (1,)   512.00B
Tensor523                                          (1600, 1)     6.50K
Tensor524                                       (50, 111709)    21.31M
Tensor525                                            (50, 1)   512.00B
Tensor526                                        (1, 111709)     0.00B
Tensor527                                             (8, 1)   512.00B
Tensor528                                               (8,)   512.00B
Tensor529                                             (8, 8)   512.00B
Tensor530                                               (8,)   512.00B
Tensor531                                             (2, 8)   512.00B
Tensor532                                               (2,)   512.00B
Tensor533                                             (8, 1)   512.00B
Tensor534                                               (8,)   512.00B
Tensor535                                             (8, 8)   512.00B
Tensor536                                               (8,)   512.00B
Tensor537                                             (2, 8)   512.00B
Tensor538                                               (2,)   512.00B
Tensor539                                             (8, 1)   512.00B
Tensor540                                               (8,)   512.00B
Tensor541                                             (8, 8)   512.00B
Tensor542                                               (8,)   512.00B
Tensor543                                             (2, 8)   512.00B
Tensor544                                               (2,)   512.00B
Tensor545                                             (8, 1)   512.00B
Tensor546                                               (8,)   512.00B
Tensor547                                             (8, 8)   512.00B
Tensor548                                               (8,)   512.00B
Tensor549                                             (2, 8)   512.00B
Tensor550                                               (2,)   512.00B
Tensor551                                             (8, 1)   512.00B
Tensor552                                               (8,)   512.00B
Tensor553                                             (8, 8)   512.00B
Tensor554                                               (8,)   512.00B
Tensor555                                             (2, 8)   512.00B
Tensor556                                               (2,)   512.00B
Tensor557                                             (8, 1)   512.00B
Tensor558                                             (8, 1)   512.00B
Tensor559                                             (8, 1)   512.00B
Tensor560                                               (8,)   512.00B
Tensor561                                               (8,)   512.00B
Tensor562                                               (8,)   512.00B
Tensor563                                             (8, 8)   512.00B
Tensor564                                             (8, 8)   512.00B
Tensor565                                             (8, 8)   512.00B
Tensor566                                               (8,)   512.00B
Tensor567                                               (8,)   512.00B
Tensor568                                               (8,)   512.00B
Tensor569                                             (2, 8)   512.00B
Tensor570                                             (2, 8)   512.00B
Tensor571                                             (2, 8)   512.00B
