Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor217                                         (2, 35600)   556.50K
Parameter218                                          (558,)     2.50K
Parameter219                                          (558,)     2.50K
Parameter220                                        (15568,)    61.00K
Parameter221                                          (279,)     1.50K
Tensor222                                         (2, 15568)   243.50K
Parameter223                                          (279,)     1.50K
Parameter224                                          (279,)     1.50K
Parameter225                                         (7784,)    30.50K
Parameter226                                          (279,)     1.50K
Tensor227                                          (2, 7784)   122.00K
Parameter228                                          (8, 1)   512.00B
Parameter229                                            (8,)   512.00B
Tensor230                                             (8, 1)   512.00B
Parameter231                                          (8, 8)   512.00B
Parameter232                                            (8,)   512.00B
Tensor233                                             (8, 8)   512.00B
Parameter234                                          (2, 8)   512.00B
Parameter235                                            (2,)   512.00B
Tensor236                                             (2, 8)   512.00B
Parameter237                                          (8, 1)   512.00B
Parameter238                                            (8,)   512.00B
Tensor239                                             (8, 1)   512.00B
Parameter240                                          (8, 8)   512.00B
Parameter241                                            (8,)   512.00B
Tensor242                                             (8, 8)   512.00B
Parameter243                                          (2, 8)   512.00B
Parameter244                                            (2,)   512.00B
Tensor245                                             (2, 8)   512.00B
Parameter246                                          (8, 1)   512.00B
Parameter247                                            (8,)   512.00B
Tensor248                                             (8, 1)   512.00B
Parameter249                                          (8, 8)   512.00B
Parameter250                                            (8,)   512.00B
Tensor251                                             (8, 8)   512.00B
Parameter252                                          (2, 8)   512.00B
Parameter253                                            (2,)   512.00B
Tensor254                                             (2, 8)   512.00B
Parameter255                                          (8, 1)   512.00B
Parameter256                                            (8,)   512.00B
Tensor257                                             (8, 1)   512.00B
Parameter258                                          (8, 8)   512.00B
Parameter259                                            (8,)   512.00B
Tensor260                                             (8, 8)   512.00B
Parameter261                                          (2, 8)   512.00B
Parameter262                                            (2,)   512.00B
Tensor263                                             (2, 8)   512.00B
Parameter264                                          (8, 1)   512.00B
Parameter265                                            (8,)   512.00B
Tensor266                                             (8, 1)   512.00B
Parameter267                                          (8, 8)   512.00B
Parameter268                                            (8,)   512.00B
Tensor269                                             (8, 8)   512.00B
Parameter270                                          (2, 8)   512.00B
Parameter271                                            (2,)   512.00B
Tensor272                                             (2, 8)   512.00B
Tensor273                                             (8, 1)   512.00B
Tensor274                                             (8, 8)   512.00B
Tensor275                                             (2, 8)   512.00B
Tensor276                                             (8, 1)   512.00B
Tensor277                                             (8, 8)   512.00B
Tensor278                                             (2, 8)   512.00B
Tensor279                                             (8, 1)   512.00B
Tensor280                                             (8, 8)   512.00B
Tensor281                                             (2, 8)   512.00B
Tensor282                                             (8, 1)   512.00B
Tensor283                                             (8, 8)   512.00B
Tensor284                                             (2, 8)   512.00B
Tensor285                                             (8, 1)   512.00B
Tensor286                                             (8, 8)   512.00B
Tensor287                                             (2, 8)   512.00B
Parameter288                                      (256, 279)   279.00K
Parameter289                                          (256,)     1.00K
Parameter290                                      (256, 256)   256.00K
Parameter291                                          (256,)     1.00K
Parameter292                                       (29, 256)    29.00K
Parameter293                                           (29,)   512.00B
Parameter294                                      (256, 279)   279.00K
Parameter295                                          (256,)     1.00K
Parameter296                                      (256, 256)   256.00K
Parameter297                                          (256,)     1.00K
Parameter298                                       (29, 256)    29.00K
Parameter299                                           (29,)   512.00B
Tensor300                                          (1600, 1)     6.50K
Tensor301                                          (1600, 1)     6.50K
Tensor302                                          (1600, 1)     6.50K
Tensor303                                          (1600, 1)     6.50K
Tensor304                                          (1600, 1)     6.50K
Tensor305                                          (1600, 1)     6.50K
Tensor306                                       (50, 111709)    21.31M
Tensor307                                            (50, 1)   512.00B
Tensor308                                          (1600, 1)     0.00B
Tensor309                                          (1600, 1)     6.50K
Tensor310                                          (1600, 1)     6.50K
Tensor311                                          (1600, 1)     6.50K
Tensor312                                          (1600, 1)     6.50K
Tensor313                                          (1600, 1)     6.50K
Tensor314                                          (1600, 1)     6.50K
Tensor315                                          (1600, 1)     6.50K
Tensor316                                          (1600, 1)     6.50K
Tensor317                                          (1600, 1)     6.50K
Tensor318                                          (1600, 1)     6.50K
Tensor319                                          (1600, 1)     6.50K
Tensor320                                               (1,)   512.00B
Tensor321                                               (1,)   512.00B
Tensor322                                               (1,)   512.00B
Tensor323                                        (1, 111709)     0.00B
Tensor324                                             (8, 1)   512.00B
Tensor325                                               (8,)   512.00B
Tensor326                                             (8, 8)   512.00B
Tensor327                                               (8,)   512.00B
Tensor328                                             (2, 8)   512.00B
Tensor329                                               (2,)   512.00B
Tensor330                                             (8, 1)   512.00B
Tensor331                                               (8,)   512.00B
Tensor332                                             (8, 8)   512.00B
Tensor333                                               (8,)   512.00B
Tensor334                                             (2, 8)   512.00B
Tensor335                                               (2,)   512.00B
Tensor336                                             (8, 1)   512.00B
Tensor337                                               (8,)   512.00B
Tensor338                                             (8, 8)   512.00B
Tensor339                                               (8,)   512.00B
Tensor340                                             (2, 8)   512.00B
Tensor341                                               (2,)   512.00B
Tensor342                                             (8, 1)   512.00B
Tensor343                                               (8,)   512.00B
Tensor344                                             (8, 8)   512.00B
Tensor345                                               (8,)   512.00B
Tensor346                                             (2, 8)   512.00B
Tensor347                                               (2,)   512.00B
Tensor348                                             (8, 1)   512.00B
Tensor349                                               (8,)   512.00B
Tensor350                                             (8, 8)   512.00B
Tensor351                                               (8,)   512.00B
Tensor352                                             (2, 8)   512.00B
Tensor353                                               (2,)   512.00B
Tensor354                                             (8, 1)   512.00B
Tensor355                                             (8, 1)   512.00B
Tensor356                                             (8, 1)   512.00B
Tensor357                                               (8,)   512.00B
Tensor358                                               (8,)   512.00B
Tensor359                                               (8,)   512.00B
Tensor360                                             (8, 8)   512.00B
Tensor361                                             (8, 8)   512.00B
Tensor362                                             (8, 8)   512.00B
Tensor363                                               (8,)   512.00B
Tensor364                                               (8,)   512.00B
Tensor365                                               (8,)   512.00B
Tensor366                                             (2, 8)   512.00B
Tensor367                                             (2, 8)   512.00B
Tensor368                                             (2, 8)   512.00B
Tensor369                                               (2,)   512.00B
Tensor370                                               (2,)   512.00B
Tensor371                                               (2,)   512.00B
Tensor372                                             (8, 1)   512.00B
Tensor373                                             (8, 1)   512.00B
Tensor374                                             (8, 1)   512.00B
Tensor375                                               (8,)   512.00B
Tensor376                                               (8,)   512.00B
Tensor377                                               (8,)   512.00B
Tensor378                                             (8, 8)   512.00B
Tensor379                                             (8, 8)   512.00B
Tensor380                                             (8, 8)   512.00B
Tensor381                                               (8,)   512.00B
Tensor382                                               (8,)   512.00B
Tensor383                                               (8,)   512.00B
Tensor384                                             (2, 8)   512.00B
Tensor385                                             (2, 8)   512.00B
Tensor386                                             (2, 8)   512.00B
Tensor387                                               (2,)   512.00B
Tensor388                                               (2,)   512.00B
Tensor389                                               (2,)   512.00B
